Season,Lg,Tm,Unnamed: 3,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1958-59,NBA,DET,,72,,,,,,,,,,,,,,,,,,,,,,-1.3%
1957-58,NBA,DET,,72,,,,,,,,,,,,,,,,,,,,,,9.1%
1956-57,NBA,FTW,,72,,,,,,,,,,,,,,,,,,,,,,5.4%
1955-56,NBA,FTW,,72,,,,,,,,,,,,,,,,,,,,,,4.1%
1954-55,NBA,FTW,,72,,,,,,,,,,,,,,,,,,,,,,18.3%
1953-54,NBA,FTW,,72,,,,,,,,,,,,,,,,,,,,,,-2.2%
1952-53,NBA,FTW,,69,,,,,,,,,,,,,,,,,,,,,,5.9%
1951-52,NBA,FTW,,66,,,,,,,,,,,,,,,,,,,,,,-9.6%
1950-51,NBA,FTW,,68,,,,,,,,,,,,,,,,,,,,,,10.4%
1949-50,NBA,FTW,,68,,,,,,,,,,,,,,,,,,,,,,13.9%
1948-49,BAA,FTW,,60,,,,,,,,,,,,,,,,,,,,,,
