Season,Lg,Tm,Unnamed: 3,Age,Ht.,Wt.,Unnamed: 7,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1975-76,NBA,DET,,-3.0%,-0.5%,-1.0%,,82,0.4%,7.1%,7.7%,-.003,,,,7.1%,7.7%,-.003,1.6%,3.7%,-.016,20.3%,1.2%,6.6%,-8.6%,15.8%,-12.6%,4.0%,11.8%,6.1%
1974-75,NBA,DET,,1.5%,-0.3%,0.0%,,82,-0.3%,-4.7%,-6.1%,+.007,,,,-4.7%,-6.1%,+.007,-7.3%,-8.7%,+.012,-16.5%,-6.2%,-9.4%,-2.0%,-14.4%,-9.3%,-11.7%,-3.3%,-5.2%
1973-74,NBA,DET,,3.1%,0.4%,0.0%,,82,-0.1%,-5.8%,-5.1%,-.004,,,,-5.8%,-5.1%,-.004,-3.3%,-5.7%,+.019,,,-5.5%,3.9%,,,1.6%,6.5%,-5.3%
1972-73,NBA,DET,,-3.1%,0.0%,0.0%,,82,-0.1%,5.3%,3.3%,+.009,,,,5.3%,3.3%,+.009,-13.7%,-13.5%,-.001,,,3.4%,11.6%,,,-6.0%,-7.3%,1.1%
1971-72,NBA,DET,,1.6%,0.0%,2.5%,,82,-0.3%,0.4%,-0.8%,+.006,,,,0.4%,-0.8%,+.006,-5.4%,-5.5%,+.001,,,1.2%,-0.5%,,,12.6%,-0.8%,-0.9%
1970-71,NBA,DET,,-1.5%,0.1%,0.5%,,82,0.0%,-2.7%,1.0%,-.017,,,,-2.7%,1.0%,-.017,-1.1%,-2.5%,+.011,,,2.4%,-0.8%,,,,2.0%,-2.3%
1969-70,NBA,DET,,0.0%,-0.1%,-0.5%,,82,0.5%,-1.2%,-4.3%,+.014,,,,-1.2%,-4.3%,+.014,-1.2%,-4.8%,+.027,,,-14.3%,-2.7%,,,,-8.3%,-1.2%
1968-69,NBA,DET,,0.8%,0.0%,-1.4%,,82,-0.1%,-3.9%,-4.6%,+.004,,,,-3.9%,-4.6%,+.004,-3.3%,-3.3%,-.000,,,-18.0%,3.4%,,,,-6.0%,-3.8%
1967-68,NBA,DET,,3.2%,-0.5%,-1.0%,,82,1.0%,6.6%,-1.8%,+.035,,,,6.6%,-1.8%,+.035,12.5%,14.8%,-.015,,,-1.1%,16.0%,,,,1.9%,7.9%
1966-67,NBA,DET,,0.8%,0.5%,-0.5%,,81,2.0%,1.4%,0.5%,+.004,,,,1.4%,0.5%,+.004,4.9%,-0.3%,+.036,,,1.5%,-6.6%,,,,9.0%,2.1%
1965-66,NBA,DET,,2.5%,-1.0%,0.0%,,80,-0.6%,0.2%,2.5%,-.009,,,,0.2%,2.5%,-.009,7.4%,7.8%,-.002,,,0.6%,-2.5%,,,,-2.0%,1.7%
Season,Lg,Tm,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1964-65,NBA,DET,,-4.3%,0.9%,1.0%,,80,,3.6%,4.5%,-.003,,,,3.6%,4.5%,-.003,-9.4%,-5.5%,-.029,,,4.8%,-1.5%,,,,-7.9%,0.7%
1963-64,NBA,DET,,2.4%,-0.3%,-0.5%,,80,,-5.3%,-3.0%,-.010,,,,-5.3%,-3.0%,-.010,-5.7%,-5.9%,+.001,,,-3.2%,-5.7%,,,,2.5%,-5.4%
